A,code,name,price,RF,涨跌额,volumn,成交额,振幅,最高,最低,今开,昨收,量比,,turnover,PE,市净率,B,C,D,E,F,G,H,I
2,000026,飞亚达A,7.67,0.25,3.37,24879,18776607,3.77,7.68,7.40,7.41,7.42,0.26,1.31,0.70,14.97,1.35,3365173271,2736014570,-22.68%,-32.06%,-0.13,1993-06-03,2018-09-07 15:00:00,24879
1,603393,新天然气,36.08,1.17,3.35,40418,143999676,3.92,36.08,34.71,35.06,34.91,0.03,2.02,4.72,28.17,3.06,5772800293,3089476437,-4.58%,-5.67%,0.08,2016-09-12,2018-09-07 15:00:00,40418
2,300616,尚品宅配,80.45,2.61,3.35,5061,40872999,6.68,82.85,77.65,77.65,77.84,-0.47,1.76,0.76,64.73,6.05,15985575294,5386605088,-29.8%,-49.88%,0.01,2017-03-07,2018-09-07 15:00:00,5061
1,603883,老百姓,61.80,2.00,3.34,22752,140855533,6.45,63.66,59.80,60.18,59.80,-0.16,1.79,0.85,39.79,6.22,17609617221,16500599796,-15.41%,-3.65%,0.00,2015-04-23,2018-09-07 15:00:00,22752
1,603080,新疆火炬,30.28,0.98,3.34,47197,140099375,6.48,30.74,28.84,29.30,29.30,-1.37,1.69,13.30,54.86,4.40,4284620097,1074940024,-21.15%,54.65%,0.00,2018-01-03,2018-09-07 15:00:00,47197
2,002727,一心堂,25.21,0.81,3.32,61978,157969352,5.04,25.99,24.76,24.76,24.40,0.04,1.18,2.07,24.47,3.75,14313476416,7545875077,-19.04%,24.19%,0.00,2014-07-02,2018-09-07 15:00:00,61978
1,600368,五洲交通,3.42,0.11,3.32,130466,43835960,4.23,3.42,3.28,3.29,3.31,0.59,0.74,1.16,8.01,1.14,3849661758,3849661745,1.48%,-36.07%,0.00,2000-12-21,2018-09-07 15:00:00,130466
2,000504,南华生物,11.52,0.37,3.32,19849,22683182,6.55,11.88,11.15,11.16,11.15,-0.52,0.74,0.64,-,390.51,3589331482,3578955406,-48.66%,-50.41%,-0.52,1992-12-08,2018-09-07 15:00:00,19849
1,600196,复星医药,29.70,0.95,3.30,283046,840804032,4.56,30.18,28.87,28.95,28.75,-0.07,0.70,1.48,24.39,3.10,76122910537,56721330895,-31.22%,-32.1%,-0.07,1998-08-07,2018-09-07 15:00:00,283046
2,002260,*ST德奥,3.14,0.10,3.29,81425,25430037,4.28,3.17,3.04,3.05,3.04,0.00,0.92,3.07,-,-3.55,832728028,832728028,-58.3%,-72.36%,0.00,2008-07-16,2018-09-07 15:00:00,81425
2,000852,石化机械,10.35,0.33,3.29,200043,205498916,6.19,10.54,9.92,10.07,10.02,0.19,1.16,3.34,-,3.69,6190932320,6190932382,38.93%,4.65%,0.29,1998-11-26,2018-09-07 15:00:00,200043
2,000962,东方钽业,6.30,0.20,3.28,136809,84960951,7.70,6.48,6.01,6.09,6.10,-0.47,2.36,3.10,-,2.55,2777245741,2777235737,2.61%,-26.57%,-0.47,2000-01-20,2018-09-07 15:00:00,136809
2,002044,美年健康,16.51,0.52,3.25,162444,269858512,6.00,17.08,16.12,16.19,15.99,0.12,1.20,0.89,151.94,8.06,51537071158,30282151346,-24.44%,-22.96%,0.06,2005-05-18,2018-09-07 15:00:00,162444
2,000564,供销大集,3.18,0.10,3.25,431592,136539936,6.49,3.27,3.07,3.08,3.08,0.32,1.87,2.29,22.70,0.62,19104894176,6005968284,-44.6%,-25.87%,0.00,1994-01-10,2018-09-07 15:00:00,431592
2,300152,科融环境,2.90,0.09,3.20,165467,47611968,7.12,2.99,2.79,2.80,2.81,1.05,1.90,2.32,-,1.53,2067120068,2066899761,-3.01%,-52.15%,0.69,2010-12-29,2018-09-07 15:00:00,165467
